title,domestic_gross,max_theaters,release_date,join_title
Beetlejuice Beetlejuice,"$294,100,435",4575,Sep 6,beetlejuice beetlejuice
Dune: Part Two,"$282,144,358",4074,Mar 1,dune: part two
Twisters,"$267,762,265",4170,Jul 19,twisters
Godzilla x Kong: The New Empire,"$196,350,016",3948,Mar 29,godzilla x kong: the new empire
Kung Fu Panda 4,"$193,590,620",4067,Mar 8,kung fu panda 4
Bad Boys: Ride or Die,"$193,573,217",3885,Jun 7,bad boys: ride or die
Kingdom of the Planet of the Apes,"$171,130,165",4075,May 10,kingdom of the planet of the apes
Gladiator II,"$164,554,921",3580,Nov 22,gladiator ii
Sonic the Hedgehog 3,"$151,558,894",3769,Dec 20,sonic the hedgehog 3
It Ends with Us,"$148,518,266",3839,Aug 9,it ends with us
The Wild Robot,"$143,190,445",3997,Sep 27,the wild robot
Venom: The Last Dance,"$139,733,580",4131,Oct 25,venom: the last dance
A Quiet Place: Day One,"$138,930,553",3708,Jun 28,a quiet place: day one
Mufasa: The Lion King,"$128,143,945",4100,Dec 20,mufasa: the lion king
Ghostbusters: Frozen Empire,"$113,376,590",4345,Mar 22,ghostbusters: frozen empire
IF,"$111,149,917",4068,May 17,if
Alien: Romulus,"$105,313,091",3915,Aug 16,alien: romulus
Bob Marley: One Love,"$96,893,170",3597,Feb 14,bob marley: one love
Red One,"$96,805,881",4032,Nov 15,red one
The Fall Guy,"$92,900,355",4008,May 3,the fall guy
The Garfield Movie,"$91,956,547",4108,May 24,the garfield movie
Wonka,"$85,272,410",4213,Dec 15,wonka
Longlegs,"$74,346,140",2850,Jul 12,longlegs
Migration,"$73,526,925",3839,Dec 22,migration
Mean Girls,"$72,404,248",3826,Jan 12,mean girls
Smile 2,"$68,967,012",3624,Oct 18,smile 2
Civil War,"$68,603,430",3929,Apr 12,civil war
Furiosa: A Mad Max Saga,"$67,475,791",3864,May 24,furiosa: a mad max saga
The Beekeeper,"$66,220,535",3337,Jan 12,the beekeeper
Anyone But You,"$63,482,283",3055,Dec 22,anyone but you
Transformers One,"$59,054,170",3978,Sep 20,transformers one
Joker: Folie à Deux,"$58,300,287",4102,Oct 4,joker: folie à deux
Terrifier 3,"$53,799,754",2762,Oct 11,terrifier 3
Challengers,"$50,119,408",3477,Apr 26,challengers
Nosferatu,"$48,120,015",3132,Dec 25,nosferatu
Aquaman and the Lost Kingdom,"$48,011,513",3787,Dec 22,aquaman and the lost kingdom
Argylle,"$45,207,275",3647,Feb 2,argylle
Madame Web,"$43,817,106",4013,Feb 14,madame web
Trap,"$42,777,281",3181,Aug 2,trap
The Best Christmas Pageant Ever,"$39,802,723",3020,Nov 8,the best christmas pageant ever
Speak No Evil,"$36,931,420",3375,Sep 13,speak no evil
The Strangers: Chapter 1,"$35,202,562",2856,May 17,the strangers: chapter 1
Coraline15th Anniversary,"$33,626,425",1564,Aug 15,coraline15th anniversary
Night Swim,"$32,494,740",3257,Jan 5,night swim
Conclave,"$31,289,705",2377,Oct 25,conclave
The Boys in the Boat,"$30,642,834",2687,Dec 25,the boys in the boat
Reagan,"$30,047,417",2770,Aug 30,reagan
The Forge,"$29,123,632",1921,Aug 23,the forge
Horizon: An American Saga - Chapter 1,"$29,035,702",3334,Jun 28,horizon: an american saga - chapter 1
A Complete Unknown,"$28,501,840",2835,Dec 25,a complete unknown
Imaginary,"$28,009,161",3118,Mar 8,imaginary
